,Dia_C_Xdisp,Dia_C_Ydisp,TC1_Temp_Z0,TC1_Temp_Z5,TC1_pressure_melt,TC1_temp_melt
217,4.1,4.0,150.3,175.0,164.2,177.7
218,4.1,4.1,150.2,175.0,164.6,177.0
219,4.1,4.1,149.8,175.0,164.2,177.0
220,4.1,4.1,149.9,175.0,164.2,177.0
221,4.0,4.1,150.0,175.0,164.2,177.1
222,4.1,4.1,150.0,175.0,164.2,177.0
223,4.0,4.1,150.2,175.0,164.3,177.1
224,4.1,4.1,149.9,174.9,164.3,176.9
225,4.1,4.1,150.2,174.9,165.0,177.1
226,4.1,4.0,150.3,174.9,165.8,177.6
227,4.1,4.1,150.2,175.0,164.2,177.5
228,4.1,4.1,150.3,175.0,164.2,177.5
229,4.1,4.1,150.1,175.0,164.2,177.3
230,4.1,4.1,149.9,175.0,164.2,177.3
231,4.1,4.1,150.1,175.0,164.2,177.4
232,4.1,4.1,150.1,175.0,164.2,177.4
233,4.1,4.1,150.2,175.0,164.2,177.4
234,4.1,4.1,150.2,175.0,164.2,177.4
235,4.1,4.1,150.0,175.0,164.2,177.2
236,4.0,4.1,150.5,175.1,164.2,177.3
237,4.1,4.1,150.4,175.1,163.3,176.5
238,4.1,4.1,150.3,175.1,163.3,176.4
239,4.1,4.1,150.6,175.1,164.2,176.9
240,4.1,4.1,150.0,175.0,162.4,176.0
241,4.1,4.1,150.0,175.1,162.4,176.1
242,4.1,4.1,150.7,175.1,163.3,176.3
243,4.0,4.1,151.0,175.1,164.2,177.1
244,4.1,4.1,150.2,175.1,164.2,177.5
245,4.1,4.1,149.5,175.0,162.4,176.1
246,4.1,4.1,149.5,175.0,162.4,176.1
247,4.1,4.1,149.4,175.0,162.4,176.0
248,4.1,4.0,149.3,175.0,162.4,176.3
249,4.1,4.1,149.9,175.0,162.4,176.0
250,4.1,4.1,149.3,175.0,162.4,176.1
251,4.1,4.1,149.3,175.0,162.4,176.1
252,4.1,4.1,149.5,175.0,162.4,176.2
253,4.1,4.1,149.4,175.0,162.4,176.1
254,4.1,4.1,149.2,174.9,162.4,176.6
255,4.1,4.0,148.9,174.9,163.3,176.7
256,4.1,4.0,149.3,174.9,163.3,176.8
