,Dia_C_Xdisp,Dia_C_Ydisp,LSP,timestamp
32,6.7,3.9,160.50636291503906,2018-01-18T06:03:37.332154
33,6.7,3.9,160.8825225830078,2018-01-18T06:02:44.631872
34,6.7,3.9,160.6944580078125,2018-01-18T06:03:36.232010
35,6.8,3.9,160.60040283203125,2018-01-18T06:03:41.832288
36,6.7,4.0,160.7320556640625,2018-01-18T06:04:59.732744
37,6.7,3.9,160.58160400390625,2018-01-18T06:04:05.632622
38,6.7,3.9,160.7508544921875,2018-01-18T06:04:02.332384
39,6.7,4.0,160.9013214111328,2018-01-18T06:04:32.032839
40,6.8,3.9,161.67245483398438,2018-01-18T06:04:54.233267
41,6.7,3.9,160.7320556640625,2018-01-18T06:04:11.132789
42,6.8,3.9,160.60040283203125,2018-01-18T06:04:46.432807
43,6.8,3.9,161.59722900390625,2018-01-18T06:04:48.632554
44,6.8,3.9,160.5439910888672,2018-01-18T06:05:05.233234
45,6.8,4.0,160.7132568359375,2018-01-18T06:05:11.833286
46,6.8,3.9,160.8825225830078,2018-01-18T06:05:25.533071
47,6.7,3.9,160.63803100585938,2018-01-18T06:05:22.233670
48,6.7,3.9,160.7320556640625,2018-01-18T06:05:31.033415
49,6.8,3.9,160.84490966796875,2018-01-18T06:05:27.733498
50,6.7,4.0,160.65682983398438,2018-01-18T06:05:18.933327
51,6.8,3.9,160.84490966796875,2018-01-18T06:05:14.033546
52,6.8,3.9,160.7132568359375,2018-01-18T06:05:08.533421
53,6.7,3.9,161.7664794921875,2018-01-18T06:05:49.833086
54,6.7,3.9,160.8260955810547,2018-01-18T06:06:22.834158
55,6.8,3.9,160.7320556640625,2018-01-18T06:06:19.533941
56,6.8,3.9,160.78848266601562,2018-01-18T06:05:53.133596
57,6.7,3.9,160.7320556640625,2018-01-18T06:06:31.634151
58,6.8,3.9,160.65682983398438,2018-01-18T06:06:32.734147
59,6.7,4.0,160.67564392089844,2018-01-18T06:06:11.833880
60,6.7,3.9,160.7320556640625,2018-01-18T06:06:16.233856
61,6.7,3.9,160.67564392089844,2018-01-18T06:06:30.534223
62,6.7,3.9,160.95774841308594,2018-01-18T06:06:07.433773
63,6.7,3.9,160.80728149414062,2018-01-18T06:06:48.134398
64,6.7,3.9,160.65682983398438,2018-01-18T06:07:31.634698
65,6.7,3.9,160.78848266601562,2018-01-18T06:07:19.533940
66,6.7,3.9,160.7508544921875,2018-01-18T06:07:21.734773
67,6.7,3.9,160.7508544921875,2018-01-18T06:06:40.434395
68,6.7,3.9,160.7508544921875,2018-01-18T06:07:27.234753
69,6.7,3.9,160.65682983398438,2018-01-18T06:06:44.834296
70,6.7,3.9,160.6944580078125,2018-01-18T06:06:37.134248
71,6.7,3.9,160.7132568359375,2018-01-18T06:07:05.034545
72,6.8,3.9,160.6192169189453,2018-01-18T06:07:44.835042
73,6.7,3.9,160.6192169189453,2018-01-18T06:08:11.335085
74,6.8,3.9,160.76966857910156,2018-01-18T06:07:50.435058
75,6.8,3.9,160.67564392089844,2018-01-18T06:07:48.234835
76,6.8,3.9,160.5439910888672,2018-01-18T06:07:47.135088
77,6.8,3.9,160.8825225830078,2018-01-18T06:08:23.435233
78,6.8,3.9,160.67564392089844,2018-01-18T06:07:52.634988
79,6.8,3.9,160.48756408691406,2018-01-18T06:08:06.935175
80,6.8,3.9,160.84490966796875,2018-01-18T06:08:09.135326
81,6.7,4.0,160.7320556640625,2018-01-18T06:08:42.136335
82,6.7,3.9,160.67564392089844,2018-01-18T06:09:11.035987
83,6.8,3.9,160.78848266601562,2018-01-18T06:08:55.535824
